Aquitaine,Aquitaine-Limousin-Poitou-Charentes,64,Pyrénées-Atlantiques,3,64460,Aast,Aast,-0.090833000838758,43.288612365723004
Lorraine,Alsace-Champagne-Ardenne-Lorraine,55,Meuse,2,55130,Abainville,Abainville,5.4938888549804998,48.530555725098004
Picardie,Nord-Pas-de-Calais-Picardie,60,Oise,1,60220,Abancourt,Abancourt,1.7652779817581001,49.698055267334006
Nord-Pas-de-Calais,Nord-Pas-de-Calais-Picardie,59,Nord,2,59268,Abancourt,Abancourt,3.2125000953674001,50.235000610352003
Lorraine,Alsace-Champagne-Ardenne-Lorraine,54,Meurthe-et-Moselle,3,54610,Abaucourt,Abaucourt,6.2575001716612997,48.896667480468992
Lorraine,Alsace-Champagne-Ardenne-Lorraine,55,Meuse,3,55400,Abaucourt-Hautecourt,Abaucourt-Hautecourt,5.5397219657898011,49.198055267334006
Franche-Comté,Bourgogne-Franche-Comté,25,Doubs,1,25320,Abbans-Dessous,Abbans-Dessous,5.8736109733581996,47.133609771728999
Franche-Comté,Bourgogne-Franche-Comté,25,Doubs,1,25440,Abbans-Dessus,Abbans-Dessus,5.8811111450193003,47.121112823486008
Pays de la Loire,Pays de la Loire,44,Loire-Atlantique,1,44170,Abbaretz,Abbaretz,-1.5316669940948,47.552223205565994
Picardie,Nord-Pas-de-Calais-Picardie,60,Oise,1,60430,Abbecourt,Abbecourt,2.1588890552521001,49.355556488036996
Picardie,Nord-Pas-de-Calais-Picardie,02,Aisne,2,02300,Abbécourt,Abbécourt,3.1813890933989999,49.595279693603999
Franche-Comté,Bourgogne-Franche-Comté,25,Doubs,1,25340,Abbenans,Abbenans,6.4511108398436994,47.499443054198998
Picardie,Nord-Pas-de-Calais-Picardie,80,Somme,1,80100,Abbeville,Abbeville,1.8363889455795002,50.106666564940994
Île-de-France,Île-de-France,91,Essonne,1,91150,Abbéville-la-Rivière,Abbéville-la-Rivière,2.1683330535889005,48.346668243407997
Lorraine,Alsace-Champagne-Ardenne-Lorraine,54,Meurthe-et-Moselle,1,54800,Abbéville-lès-Conflans,Abbéville-lès-Conflans,5.8461108207702992,49.198333740234013
Picardie,Nord-Pas-de-Calais-Picardie,60,Oise,2,60480,Abbeville-Saint-Lucien,Abbeville-Saint-Lucien,2.1713891029357999,49.51777648925799
Franche-Comté,Bourgogne-Franche-Comté,25,Doubs,2,25310,Abbévillers,Abbévillers,6.9194440841677007,47.431667327880994
Languedoc-Roussillon,Languedoc-Roussillon-Midi-Pyrénées,34,Hérault,1,34290,Abeilhan,Abeilhan,3.2952780723571999,43.449722290039006
Franche-Comté,Bourgogne-Franche-Comté,70,Haute-Saône,1,70300,Abelcourt,Abelcourt,6.2897219657897008,47.784442901610994
Aquitaine,Aquitaine-Limousin-Poitou-Charentes,64,Pyrénées-Atlantiques,3,64160,Abère,Abère,-0.17416700720787,43.391109466552997
Rhône-Alpes,Auvergne-Rhône-Alpes,01,Ain,2,01400,Abergement-Clémenciat,l'Abergement-Clémenciat,4.9191670417786009,46.15222167968799
Bourgogne,Bourgogne-Franche-Comté,71,Saône-et-Loire,4,71290,Abergement-de-Cuisery,l'Abergement-de-Cuisery,4.9597220420837012,46.574722290039006
Rhône-Alpes,Auvergne-Rhône-Alpes,01,Ain,1,01640,Abergement-de-Varey,l'Abergement-de-Varey,5.4238891601562997,46.007778167725
Franche-Comté,Bourgogne-Franche-Comté,39,Jura,1,39500,Abergement-la-Ronce,Abergement-la-Ronce,5.3630561828613006,47.071388244629006
Franche-Comté,Bourgogne-Franche-Comté,39,Jura,2,39600,Abergement-le-Grand,Abergement-le-Grand,5.6780557632446005,46.912776947021008
Franche-Comté,Bourgogne-Franche-Comté,39,Jura,2,39800,Abergement-le-Petit,Abergement-le-Petit,5.6944441795348988,46.900276184081996
Franche-Comté,Bourgogne-Franche-Comté,39,Jura,2,39110,Abergement-lès-Thésy,Abergement-lès-Thésy,5.9383330345154004,46.916389465331982
Bourgogne,Bourgogne-Franche-Comté,71,Saône-et-Loire,2,71370,Abergement-Sainte-Colombe,l'Abergement-Sainte-Colombe,5.0075001716613992,46.753612518311002
Aquitaine,Aquitaine-Limousin-Poitou-Charentes,64,Pyrénées-Atlantiques,3,64150,Abidos,Abidos,-0.62194401025774,43.400276184081996
Centre,Centre,37,Indre-et-Loire,3,37160,Abilly,Abilly,0.72861099243165994,46.941665649413991
Aquitaine,Aquitaine-Limousin-Poitou-Charentes,64,Pyrénées-Atlantiques,2,64390,Abitain,Abitain,-0.98722201585773,43.420555114746001
Aquitaine,Aquitaine-Limousin-Poitou-Charentes,24,Dordogne,2,24300,Abjat-sur-Bandiat,Abjat-sur-Bandiat,0.7561110258102699,45.585556030273004
Ile-de-France,Île-de-France,75,Paris,16,75016,Paris,Paris,2.276111,48.862778
Ile-de-France,Île-de-France,75,Paris,15,75015,Paris,Paris,2.300236,48.841320
Ile-de-France,Île-de-France,75,Paris,8,75008,Paris,Paris,2.317807,48.877816
Ile-de-France,Île-de-France,75,Paris,7,75007,Paris,Paris,2.319945,48.856903
Ile-de-France,Île-de-France,75,Paris,17,75017,Paris,Paris,2.322069,48.884353
Ile-de-France,Île-de-France,75,Paris,14,75014,Paris,Paris,2.326798,48.832921
Ile-de-France,Île-de-France,75,Paris,6,75006,Paris,Paris,2.332733,48.850565
Ile-de-France,Île-de-France,75,Paris,9,75009,Paris,Paris,2.340415,48.872481
Ile-de-France,Île-de-France,75,Paris,2,75002,Paris,Paris,2.340470,48.866889
Ile-de-France,Île-de-France,75,Paris,1,75001,Paris,Paris,2.342059,48.859947
Ile-de-France,Île-de-France,75,Paris,18,75018,Paris,Paris,2.344546,48.892336
Ile-de-France,Île-de-France,75,Paris,5,75005,Paris,Paris,2.344615,48.846197
Île-de-France,Île-de-France,75,Paris,1,75000,Paris,Paris,2.3457999229430997,48.860801696776996
Ile-de-France,Île-de-France,75,Paris,13,75013,Paris,Paris,2.355511,48.832341
Ile-de-France,Île-de-France,75,Paris,4,75004,Paris,Paris,2.355682,48.856185
Ile-de-France,Île-de-France,75,Paris,10,75010,Paris,Paris,2.357399,48.871899
Ile-de-France,Île-de-France,75,Paris,3,75003,Paris,Paris,2.361531,48.864027
Ile-de-France,Île-de-France,75,Paris,11,75011,Paris,Paris,2.379586,48.858458
Ile-de-France,Île-de-France,75,Paris,19,75019,Paris,Paris,2.382030,48.882769
Ile-de-France,Île-de-France,75,Paris,12,75012,Paris,Paris,2.387944,48.840989
Ile-de-France,Île-de-France,75,Paris,20,75020,Paris,Paris,2.399032,48.865099
Midi-Pyrénées,Languedoc-Roussillon-Midi-Pyrénées,31,Haute-Garonne,3,31000,Toulouse,Toulouse,1.4502780437469001,43.599998474121008
